,fecha,zona,cod,evento,tipoevento,unixtime,s_p,duracion,amplitudctas,frecuencia,energia,est,latitud,longitud,profundidad,magduracion,nfases,gap,distmedia,rms,erh,erz,calidad,nestaciones,ml,comp,idvolc,q,dr,tipoloc,idtipoevento,idevento,amplitud_ums,estacion,tiempo_origen,id_usuario,id_loc,ml_pre,software,etiqueta,distancia,direccion,idscnl,energia_full_waveform
2,2022-01-01 00:38:12.000097,2,9,220101_003812_29VT,VT,1640997492.97,1.22,14.39,,5.46,,252,-36.821833,-71.337667,3.17,0.88,9.0,202.0,3.5,0.05,0.7,0.7,C1,6.0,1.4,,21,,2.51,1.0,21,9,12.17,SHG,1640997490.97,30,1028.0,1.5,apaweb,,6.2,NNE,229,
24,2022-01-01 06:21:52.000075,2,9,220101_062152_29VT,VT,1641018112.75,1.28,10.57,,7.66,,252,-36.8365,-71.327667,3.66,1.08,10.0,177.0,2.6,0.04,0.4,0.4,B1,7.0,1.1,,21,,0.63,1.0,21,74,4.29,SHG,1641018110.79,30,3623.0,0.8,apaweb,,5.6,ENE,229,
27,2022-01-01 07:20:42.000049,2,9,220101_072042_29VT,VT,1641021642.49,0.55,8.72,,6.41,,252,-36.824833,-71.335333,3.96,1.08,13.0,196.0,3.3,0.07,0.5,0.3,C1,7.0,1.3,,21,,1.67,1.0,21,92,9.52,SHG,1641021639.57,30,3624.0,1.3,apaweb,,6.0,NNE,229,
182,2022-01-03 06:04:47.000064,2,9,220103_060447_29VT,VT,1641189887.64,0.67,6.62,,16.08,,252,-36.863167,-71.377167,2.94,0.55,6.0,236.0,1.2,0.04,1.3,0.6,C1,3.0,0.9,,21,,0.67,1.0,21,562,9.64,SHG,1641189886.93,30,3625.0,0.9,apaweb,,0.4,NNE,229,
190,2022-01-03 09:15:51.000057,2,9,220103_091551_29VT,VT,1641201351.57,1.34,63.38,,5.65,,252,-36.837667,-71.338167,4.46,2.32,18.0,118.0,1.9,0.09,0.3,0.3,B1,13.0,3.6,,21,,434.32,1.0,21,571,2179.11,SHG,1641201349.84,30,24.0,3.7,apaweb,,4.8,ENE,229,
194,2022-01-03 09:23:01.000039,2,9,220103_092301_29VT,VT,1641201781.39,1.02,14.24,,7.85,,252,-36.835833,-71.3335,3.73,1.35,14.0,152.0,2.3,0.04,0.3,0.3,B1,10.0,2.6,,21,,34.48,1.0,21,572,240.43,SHG,1641201779.67,30,25.0,2.7,apaweb,,5.3,ENE,229,
196,2022-01-03 09:25:06.000082,2,9,220103_092506_29VT,VT,1641201906.82,0.58,16.31,,6.32,,213,-36.840333,-71.3335,3.33,0.67,9.0,171.0,2.0,0.06,0.6,0.6,B1,6.0,1.3,,21,,5.06,1.0,21,577,19.85,NBL,1641201906.06,30,31.0,1.5,apaweb,,4.9,ENE,190,
197,2022-01-03 09:30:10.000077,2,9,220103_093010_29VT,VT,1641202210.77,1.07,8.47,,5.36,,252,-36.837833,-71.332667,3.65,-0.04,12.0,174.0,2.2,0.06,0.6,0.5,B1,8.0,1.8,,21,,3.31,1.0,21,578,15.75,SHG,1641202209.04,30,30.0,1.7,apaweb,,5.2,ENE,229,
198,2022-01-03 09:30:19.000056,2,9,220103_093019_29VT,VT,1641202219.56,1.19,22.02,,5.93,,252,-36.833,-71.334333,3.23,1.2,12.0,183.0,2.5,0.05,0.4,0.4,C1,8.0,2.4,,21,,16.37,1.0,21,579,86.33,SHG,1641202217.87,30,29.0,2.3,apaweb,,5.4,NE,229,
199,2022-01-03 09:30:42.000065,2,9,220103_093042_29VT,VT,1641202242.65,1.01,23.8,,6.17,,252,-36.841,-71.3295,3.91,1.25,13.0,146.0,2.2,0.05,0.4,0.3,B1,9.0,2.2,,21,,8.7,1.0,21,580,47.71,SHG,1641202240.9,30,28.0,2.1,apaweb,,5.2,ENE,229,
200,2022-01-03 09:37:49.000054,2,9,220103_093749_29VT,VT,1641202669.54,1.3,18.02,,5.36,,252,-36.8355,-71.333333,3.26,1.35,12.0,179.0,2.4,0.05,0.2,0.4,B1,8.0,1.9,,21,,5.25,1.0,21,581,25.0,SHG,1641202667.86,30,26.0,1.9,apaweb,,5.3,ENE,229,
201,2022-01-03 09:43:41.000012,2,9,220103_094341_29VT,VT,1641203021.12,1.23,23.38,,8.9,,252,-36.835,-71.331667,2.93,1.65,15.0,153.0,2.5,0.06,0.3,0.2,B1,9.0,1.8,,21,,4.91,1.0,21,583,38.82,SHG,1641203019.35,30,271.0,1.9,apaweb,,5.4,ENE,229,
202,2022-01-03 09:44:25.000079,2,9,220103_094425_29VT,VT,1641203065.79,1.27,11.33,,8.9,,252,-36.836,-71.3335,3.13,1.3,10.0,178.0,2.3,0.03,0.3,0.3,B1,8.0,1.3,,21,,1.32,1.0,21,584,10.4,SHG,1641203064.07,30,860.0,1.3,apaweb,,5.2,ENE,229,
204,2022-01-03 09:54:58.000093,2,9,220103_095458_29VT,VT,1641203698.93,1.26,14.31,,9.0,,252,-36.837333,-71.3295,2.99,1.2,8.0,173.0,2.5,0.05,0.4,0.3,B1,6.0,1.0,,21,,0.39,1.0,21,589,3.08,SHG,1641203697.09,30,3626.0,0.9,apaweb,,5.4,ENE,229,
205,2022-01-03 09:56:29.000029,2,9,220103_095629_29VT,VT,1641203789.29,1.2,13.4,,8.9,,252,-36.836833,-71.332,2.98,0.88,8.0,176.0,2.3,0.04,0.3,0.3,B1,6.0,1.0,,21,,0.47,1.0,21,588,3.7,SHG,1641203787.49,30,3627.0,0.9,apaweb,,5.3,ENE,229,
206,2022-01-03 09:57:01.000008,2,9,220103_095701_29VT,VT,1641203821.08,1.2,15.22,,8.9,,252,-36.8405,-71.335,3.92,1.13,12.0,171.0,1.9,0.06,0.3,0.3,B1,8.0,1.3,,21,,1.05,1.0,21,587,8.3,SHG,1641203819.29,30,3630.0,1.3,apaweb,,4.8,ENE,229,
208,2022-01-03 09:59:50.000033,2,9,220103_095950_29VT,VT,1641203990.33,1.19,9.8,,9.67,,252,-36.841333,-71.326333,3.58,1.3,11.0,145.0,2.4,0.06,0.4,0.4,B1,8.0,1.0,,21,,0.36,1.0,21,590,3.08,SHG,1641203988.5,30,3631.0,0.8,apaweb,,5.4,ENE,229,
209,2022-01-03 10:06:21.000099,2,9,220103_100621_29VT,VT,1641204381.99,1.27,18.51,,5.36,,252,-36.837333,-71.334333,3.5,1.25,13.0,151.0,2.1,0.02,0.1,0.2,B1,9.0,1.8,,21,,4.15,1.0,21,592,19.78,SHG,1641204380.25,30,447.0,1.8,apaweb,,5.1,ENE,229,
215,2022-01-03 10:44:40.000031,2,9,220103_104440_29VT,VT,1641206680.31,0.67,9.49,,8.9,,252,-36.835333,-71.329833,2.72,1.02,8.0,177.0,2.6,0.05,0.7,0.8,B1,6.0,1.1,,21,,0.62,1.0,21,599,4.9,SHG,1641206678.09,53,3633.0,1.0,apaweb,,5.5,ENE,229,
216,2022-01-03 10:57:15.000066,2,9,220103_105715_29VT,VT,1641207435.66,0.8,15.79,,8.9,,252,-36.838333,-71.330667,3.26,0.75,20.0,149.0,2.3,0.06,0.2,0.3,B1,10.0,1.5,,21,,4.76,1.0,21,600,37.64,SHG,1641207433.96,53,38.0,1.8,apaweb,,5.3,ENE,229,
217,2022-01-03 10:57:37.000026,2,9,220103_105737_29VT,VT,1641207457.26,0.74,15.69,,8.9,,252,-36.836833,-71.330667,3.32,1.03,17.0,151.0,2.4,0.09,0.3,0.6,B1,9.0,1.2,,21,,1.99,1.0,21,601,15.76,SHG,1641207455.45,53,47.0,1.4,apaweb,,5.4,ENE,229,
218,2022-01-03 11:01:53.000078,2,9,220103_110153_29VT,VT,1641207713.78,0.68,11.13,,9.14,,252,-36.834833,-71.333333,3.14,0.55,9.0,180.0,2.4,0.07,0.7,0.9,B1,6.0,1.1,,21,,0.71,1.0,21,602,5.79,SHG,1641207711.74,53,3634.0,0.9,apaweb,,5.3,ENE,229,
219,2022-01-03 11:02:08.000078,2,9,220103_110208_29VT,VT,1641207728.78,0.85,10.56,,8.95,,252,-36.841667,-71.332667,4.26,1.08,7.0,168.0,1.9,0.05,0.4,0.4,B1,5.0,1.2,,21,,0.77,1.0,21,603,6.1,SHG,1641207726.89,53,3635.0,1.0,apaweb,,4.9,ENE,229,
227,2022-01-03 11:16:58.000038,2,9,220103_111658_29VT,VT,1641208618.38,0.69,11.29,,5.41,,252,-36.840833,-71.325667,3.16,1.2,10.0,146.0,2.5,0.09,0.6,0.7,B1,7.0,1.2,,21,,1.22,1.0,21,611,5.88,SHG,1641208616.69,53,3637.0,1.2,apaweb,,5.5,ENE,229,
228,2022-01-03 11:25:35.000040,2,9,220103_112535_29VT,VT,1641209135.4,0.75,9.36,,5.41,,252,-36.839167,-71.336667,3.83,1.02,10.0,174.0,1.9,0.03,0.3,0.3,B1,7.0,1.1,,21,,0.76,1.0,21,614,3.63,SHG,1641209133.65,53,3638.0,1.0,apaweb,,4.8,ENE,229,
